date,plan,mrr,customers,churn_rate
2027-06-14,Scale,27268.22,116,0.055
2027-06-14,Enterprise,101292.11,314,0.017
2027-07-14,Starter,2325.92,6,0.012
2027-07-14,Growth,11236.75,264,0.038
2027-07-14,Scale,28824.51,83,0.052
2027-07-14,Enterprise,104271.24,1831,0.051
2027-08-13,Starter,1600.15,4,0.051
2027-08-13,Growth,6979.25,29,0.073
2027-08-13,Scale,20525.33,56,0.046
2027-08-13,Enterprise,109125.86,553,0.031
2027-09-12,Starter,2583.76,6,0.027
2027-09-12,Growth,8181.55,42,0.033
2027-09-12,Scale,25931.08,137,0.046
2027-09-12,Enterprise,98766.9,815,0.078
2027-10-12,Starter,1804.22,6,0.011
2027-10-12,Growth,9424.0,75,0.017
2027-10-12,Scale,19952.52,60,0.073
2027-10-12,Enterprise,68818.49,440,0.034
2027-11-11,Starter,1386.23,4,0.032
2027-11-11,Growth,10845.31,209,0.019
2027-11-11,Scale,18675.95,87,0.052
2027-11-11,Enterprise,110692.15,921,0.029
2027-12-11,Starter,2575.12,19,0.032
2027-12-11,Growth,13143.97,56,0.017
2027-12-11,Scale,18495.08,293,0.072
2027-12-11,Enterprise,116950.17,426,0.059
2028-01-10,Starter,2502.55,6,0.078
2028-01-10,Growth,11971.99,34,0.024
2028-01-10,Scale,27701.41,138,0.033
2028-01-10,Enterprise,105500.89,315,0.064
2028-02-09,Starter,2297.74,7,0.051
2028-02-09,Growth,9518.64,26,0.053
2028-02-09,Scale,28071.75,79,0.02
2028-02-09,Enterprise,99480.84,668,0.064
2028-03-10,Starter,1787.95,9,0.03
2028-03-10,Growth,9430.87,44,0.067
2028-03-10,Scale,17872.84,56,0.026
2028-03-10,Enterprise,109755.01,364,0.04
2028-04-09,Starter,1856.39,38,0.04
2028-04-09,Growth,13551.26,51,0.044
2028-04-09,Scale,33352.95,150,0.025
2028-04-09,Enterprise,65991.78,264,0.045
2028-05-09,Starter,2133.29,5,0.052
2028-05-09,Growth,11905.42,127,0.041
2028-05-09,Scale,19823.41,109,0.049
2028-05-09,Enterprise,110516.83,373,0.02
2028-06-08,Starter,2797.6,17,0.036
2028-06-08,Growth,12066.04,80,0.021
2028-06-08,Scale,35568.47,292,0.031
2028-06-08,Enterprise,85518.23,215,0.036
2028-07-08,Starter,2347.86,8,0.028
2028-07-08,Growth,8510.54,43,0.037
2028-07-08,Scale,38783.33,105,0.031
2028-07-08,Enterprise,117032.97,339,0.06
2028-08-07,Starter,2089.8,6,0.034
2028-08-07,Growth,11756.18,69,0.03
2028-08-07,Scale,19795.74,74,0.029
2028-08-07,Enterprise,128687.26,343,0.018
2028-09-06,Starter,1527.27,37,0.011
2028-09-06,Growth,7947.73,79,0.046
2028-09-06,Scale,20212.59,83,0.015
2028-09-06,Enterprise,122895.33,858,0.08
2028-10-06,Starter,1838.42,5,0.069
2028-10-06,Growth,12328.35,68,0.072
2028-10-06,Scale,34633.67,262,0.049
2028-10-06,Enterprise,113574.76,342,0.03
2028-11-05,Starter,2798.75,32,0.067
2028-11-05,Growth,14131.82,60,0.03
2028-11-05,Scale,33410.3,263,0.024
2028-11-05,Enterprise,133729.64,402,0.04
2028-12-05,Starter,3051.68,18,0.075
2028-12-05,Growth,6980.81,23,0.051
2028-12-05,Scale,35475.99,330,0.049
2028-12-05,Enterprise,75850.89,431,0.042
2029-01-04,Starter,2601.48,14,0.039
2029-01-04,Growth,10667.19,156,0.02
2029-01-04,Scale,26210.92,144,0.027
2029-01-04,Enterprise,75288.19,197,0.012
2029-02-03,Starter,3007.58,8,0.019
2029-02-03,Growth,13174.22,110,0.053
2029-02-03,Scale,32210.96,487,0.079
2029-02-03,Enterprise,121359.83,311,0.049
2029-03-05,Starter,3235.39,14,0.053
2029-03-05,Growth,6995.52,33,0.042
2029-03-05,Scale,20574.97,219,0.031
2029-03-05,Enterprise,130166.21,1562,0.031
2029-04-04,Starter,2719.43,23,0.064
2029-04-04,Growth,10185.15,49,0.07
2029-04-04,Scale,42249.2,215,0.032
2029-04-04,Enterprise,136251.29,775,0.014
2029-05-04,Starter,2610.28,20,0.063
2029-05-04,Growth,10557.17,165,0.051
2029-05-04,Scale,38608.34,126,0.055
2029-05-04,Enterprise,139954.13,521,0.035
2029-06-03,Starter,3069.74,11,0.044
2029-06-03,Growth,11227.99,32,0.028
2029-06-03,Scale,21552.09,83,0.012
2029-06-03,Enterprise,144477.87,371,0.074
2029-07-03,Starter,2658.65,65,0.023
2029-07-03,Growth,14908.78,91,0.061
2029-07-03,Scale,45599.97,134,0.065
2029-07-03,Enterprise,87616.49,608,0.058
2029-08-02,Starter,3386.26,18,0.02
2029-08-02,Growth,12388.32,53,0.05
2029-08-02,Scale,27549.89,88,0.077
2029-08-02,Enterprise,69818.51,187,0.029
2029-09-01,Starter,3110.3,10,0.036
2029-09-01,Growth,11988.97,48,0.024
2029-09-01,Scale,29366.39,361,0.059
2029-09-01,Enterprise,118213.82,515,0.043
2029-10-01,Starter,3346.7,28,0.019
2029-10-01,Growth,14221.62,98,0.051
2029-10-01,Scale,27591.56,138,0.056
2029-10-01,Enterprise,104160.6,462,0.014
2029-10-31,Starter,2720.62,15,0.014
2029-10-31,Growth,8224.71,28,0.044
2029-10-31,Scale,26615.3,174,0.051
2029-10-31,Enterprise,95629.38,253,0.028
2029-11-30,Starter,2530.35,10,0.022
2029-11-30,Growth,8323.52,25,0.044
2029-11-30,Scale,35675.63,150,0.017
2029-11-30,Enterprise,124265.75,668,0.047
2029-12-30,Starter,2530.25,29,0.063
2029-12-30,Growth,16268.77,87,0.048
2029-12-30,Scale,44513.2,486,0.04
2029-12-30,Enterprise,121876.08,1095,0.075
2030-01-29,Starter,3247.78,18,0.028
2030-01-29,Growth,14995.8,135,0.038
2030-01-29,Scale,21582.46,195,0.023
2030-01-29,Enterprise,115546.77,325,0.078
2030-02-28,Starter,3208.39,19,0.059
2030-02-28,Growth,14794.96,40,0.02
2030-02-28,Scale,28828.26,387,0.03
2030-02-28,Enterprise,81801.9,441,0.044
2030-03-30,Starter,1830.81,27,0.032
2030-03-30,Growth,13970.34,153,0.017
2030-03-30,Scale,46544.84,241,0.027
2030-03-30,Enterprise,152677.16,672,0.019
2030-04-29,Starter,3661.66,26,0.012
2030-04-29,Growth,11050.6,31,0.051
2030-04-29,Scale,26063.48,252,0.036
2030-04-29,Enterprise,81580.82,1634,0.077
2030-05-29,Starter,3418.12,10,0.07
2030-05-29,Growth,8781.65,76,0.047
2030-05-29,Scale,27033.94,109,0.023
2030-05-29,Enterprise,134214.35,785,0.046
2030-06-28,Starter,3988.41,48,0.025
2030-06-28,Growth,10342.94,40,0.033
2030-06-28,Scale,47928.26,168,0.033
2030-06-28,Enterprise,90775.89,849,0.038
2030-07-28,Starter,3566.74,24,0.041
2030-07-28,Growth,16886.28,164,0.051
2030-07-28,Scale,34547.56,315,0.022
2030-07-28,Enterprise,74199.73,223,0.077
2030-08-27,Starter,2260.54,7,0.055
2030-08-27,Growth,13240.6,36,0.067
2030-08-27,Scale,29837.02,121,0.055
2030-08-27,Enterprise,107619.16,407,0.068
2030-09-26,Starter,2558.09,7,0.016
2030-09-26,Growth,15941.47,39,0.079
2030-09-26,Scale,34273.4,102,0.049
2030-09-26,Enterprise,76394.57,354,0.073
2030-10-26,Starter,4158.07,24,0.027
2030-10-26,Growth,15489.53,250,0.074
2030-10-26,Scale,34958.86,448,0.043
2030-10-26,Enterprise,179115.23,1506,0.038
2030-11-25,Starter,3194.93,18,0.03
2030-11-25,Growth,13180.03,33,0.029
2030-11-25,Scale,47013.96,239,0.032
2030-11-25,Enterprise,95987.1,834,0.051
2030-12-25,Starter,3510.87,9,0.019
2030-12-25,Growth,15689.21,49,0.049
2030-12-25,Scale,32875.91,253,0.03
2030-12-25,Enterprise,169493.43,575,0.079
2031-01-24,Starter,3011.85,11,0.031
2031-01-24,Growth,12094.54,174,0.055
2031-01-24,Scale,51276.98,176,0.039
2031-01-24,Enterprise,93157.47,351,0.075
2031-02-23,Starter,2570.87,22,0.056
2031-02-23,Growth,13108.03,82,0.062
2031-02-23,Scale,30131.6,121,0.039
2031-02-23,Enterprise,82777.73,273,0.02
2031-03-25,Starter,3259.58,12,0.027
2031-03-25,Growth,15766.5,43,0.048
2031-03-25,Scale,44900.61,236,0.035
2031-03-25,Enterprise,97727.58,256,0.016
2031-04-24,Starter,2804.6,8,0.056
2031-04-24,Growth,17025.95,237,0.027
2031-04-24,Scale,39542.46,343,0.019
2031-04-24,Enterprise,78795.63,272,0.064
2031-05-24,Starter,3902.21,10,0.029
2031-05-24,Growth,16097.19,48,0.077
2031-05-24,Scale,54591.46,1164,0.073
2031-05-24,Enterprise,118475.72,852,0.025
2031-06-23,Starter,2096.85,24,0.03
2031-06-23,Growth,18506.28,73,0.031
2031-06-23,Scale,50287.61,274,0.033
2031-06-23,Enterprise,106222.85,1155,0.05
2031-07-23,Starter,4137.25,41,0.069
2031-07-23,Growth,12074.38,38,0.024
2031-07-23,Scale,52294.43,204,0.042
2031-07-23,Enterprise,164491.55,656,0.066
2031-08-22,Starter,3584.37,24,0.025
2031-08-22,Growth,19325.23,143,0.069
2031-08-22,Scale,25186.75,89,0.023
2031-08-22,Enterprise,124499.6,338,0.06
2031-09-21,Starter,3425.35,47,0.039
2031-09-21,Growth,21821.94,443,0.058
2031-09-21,Scale,43145.88,363,0.025
2031-09-21,Enterprise,87589.41,1126,0.037
2031-10-21,Starter,2263.15,7,0.05
2031-10-21,Growth,9776.26,30,0.027
2031-10-21,Scale,45429.9,149,0.012
2031-10-21,Enterprise,169412.2,1538,0.026
2031-11-20,Starter,4703.52,40,0.074
2031-11-20,Growth,14148.63,66,0.066
2031-11-20,Scale,59518.38,429,0.066
2031-11-20,Enterprise,110415.13,327,0.048
2031-12-20,Starter,3885.44,54,0.014
2031-12-20,Growth,9288.65,47,0.052
2031-12-20,Scale,24126.79,60,0.074
2031-12-20,Enterprise,86618.09,470,0.078
2032-01-19,Starter,3567.34,12,0.056
2032-01-19,Growth,9512.25,194,0.069
2032-01-19,Scale,48652.12,130,0.073
2032-01-19,Enterprise,80277.97,348,0.068
2032-02-18,Starter,3092.13,16,0.018
2032-02-18,Growth,21688.24,54,0.062
2032-02-18,Scale,25768.11,97,0.013
2032-02-18,Enterprise,114064.75,1359,0.069
2032-03-19,Starter,2431.8,11,0.062
2032-03-19,Growth,13238.16,55,0.072
2032-03-19,Scale,63105.63,546,0.024
2032-03-19,Enterprise,132587.12,456,0.05
2032-04-18,Starter,3944.74,18,0.076
2032-04-18,Growth,17226.65,151,0.048
2032-04-18,Scale,25503.77,162,0.044
2032-04-18,Enterprise,191260.72,534,0.065
2032-05-18,Starter,2190.73,6,0.065
2032-05-18,Growth,9949.83,34,0.075
2032-05-18,Scale,56768.38,142,0.031
2032-05-18,Enterprise,139696.8,396,0.021
2032-06-17,Starter,4853.64,20,0.056
2032-06-17,Growth,12906.72,155,0.069
2032-06-17,Scale,42389.6,158,0.032
2032-06-17,Enterprise,201614.45,535,0.015
2032-07-17,Starter,4880.83,41,0.041
2032-07-17,Growth,21549.55,124,0.037
2032-07-17,Scale,59467.4,553,0.015
2032-07-17,Enterprise,154164.18,398,0.013
2032-08-16,Starter,3952.38,26,0.078
2032-08-16,Growth,18760.39,106,0.065
2032-08-16,Scale,65784.92,651,0.055
2032-08-16,Enterprise,94514.22,664,0.013
2032-09-15,Starter,4224.64,60,0.033
2032-09-15,Growth,13817.37,73,0.056
2032-09-15,Scale,64896.36,607,0.015
2032-09-15,Enterprise,155518.36,466,0.034
2032-10-15,Starter,5227.91,50,0.056
2032-10-15,Growth,20327.07,56,0.01
2032-10-15,Scale,51066.58,359,0.06
2032-10-15,Enterprise,87910.8,298,0.051
2032-11-14,Starter,3903.71,14,0.046
2032-11-14,Growth,23260.98,137,0.037
2032-11-14,Scale,36192.73,147,0.076
2032-11-14,Enterprise,110770.9,1815,0.036
2032-12-14,Starter,3909.67,14,0.061
2032-12-14,Growth,15710.93,95,0.056
2032-12-14,Scale,41666.94,242,0.064
2032-12-14,Enterprise,122366.45,1323,0.079
2033-01-13,Starter,3443.2,11,0.042
2033-01-13,Growth,15121.71,171,0.056
2033-01-13,Scale,42085.52,853,0.037
2033-01-13,Enterprise,80969.66,1682,0.013
2033-02-12,Starter,2927.18,7,0.074
2033-02-12,Growth,10676.97,88,0.079
2033-02-12,Scale,41156.36,150,0.077
2033-02-12,Enterprise,207310.97,1548,0.065
2033-03-14,Starter,3714.16,11,0.017
2033-03-14,Growth,8988.76,23,0.079
2033-03-14,Scale,42946.2,182,0.014
2033-03-14,Enterprise,121068.68,310,0.063
2033-04-13,Starter,3646.42,15,0.011
2033-04-13,Growth,15717.37,143,0.06
2033-04-13,Scale,30030.89,85,0.056
2033-04-13,Enterprise,101981.65,1115,0.02
2033-05-13,Starter,2554.39,26,0.011
2033-05-13,Growth,13642.0,86,0.021
2033-05-13,Scale,33447.67,83,0.051
2033-05-13,Enterprise,126375.44,3123,0.016
2033-06-12,Starter,4565.99,19,0.042
2033-06-12,Growth,22596.83,185,0.072
2033-06-12,Scale,29436.13,360,0.027
2033-06-12,Enterprise,183719.77,544,0.076
2033-07-12,Starter,3092.89,19,0.065
2033-07-12,Growth,16625.97,179,0.064
2033-07-12,Scale,49614.3,568,0.068
2033-07-12,Enterprise,204199.67,1035,0.018
2033-08-11,Starter,4533.62,16,0.077
2033-08-11,Growth,18685.67,341,0.063
2033-08-11,Scale,49640.46,982,0.075
2033-08-11,Enterprise,85135.5,1285,0.073
2033-09-10,Starter,2342.35,16,0.071
2033-09-10,Growth,25517.13,200,0.015
2033-09-10,Scale,40881.86,130,0.065
2033-09-10,Enterprise,162963.93,444,0.075
2033-10-10,Starter,2955.49,14,0.039
2033-10-10,Growth,17142.14,56,0.054
2033-10-10,Scale,51557.49,500,0.055
2033-10-10,Enterprise,189915.3,508,0.026
2033-11-09,Starter,3437.29,11,0.045
2033-11-09,Growth,25340.5,93,0.078
2033-11-09,Scale,57839.16,474,0.049
2033-11-09,Enterprise,206988.18,738,0.017
2033-12-09,Starter,5129.32,19,0.073
2033-12-09,Growth,17190.68,45,0.073
2033-12-09,Scale,65449.4,353,0.05
2033-12-09,Enterprise,135306.45,848,0.033
2034-01-08,Starter,3321.84,15,0.036
2034-01-08,Growth,19585.21,67,0.011
2034-01-08,Scale,62828.22,586,0.073
2034-01-08,Enterprise,84467.53,442,0.078
2034-02-07,Starter,4201.67,72,0.031
2034-02-07,Growth,25527.94,112,0.066
2034-02-07,Scale,46891.18,266,0.061
2034-02-07,Enterprise,148295.91,775,0.027
2034-03-09,Starter,3782.87,27,0.041
2034-03-09,Growth,10196.02,55,0.02
2034-03-09,Scale,46441.43,124,0.039
2034-03-09,Enterprise,177498.09,1202,0.073
2034-04-08,Starter,2255.68,13,0.054
2034-04-08,Growth,18858.52,171,0.061
2034-04-08,Scale,56865.75,581,0.053
2034-04-08,Enterprise,151629.21,1107,0.042
2034-05-08,Starter,5357.5,15,0.023
2034-05-08,Growth,24359.75,73,0.047
2034-05-08,Scale,60238.45,476,0.02
2034-05-08,Enterprise,127864.19,1097,0.046
2034-06-07,Starter,5110.55,36,0.042
2034-06-07,Growth,11886.65,148,0.033
2034-06-07,Scale,38710.6,109,0.052
2034-06-07,Enterprise,141599.67,875,0.042
2034-07-07,Starter,5462.45,21,0.012
2034-07-07,Growth,12852.19,58,0.067
2034-07-07,Scale,26990.03,192,0.036
2034-07-07,Enterprise,97098.54,243,0.025
2034-08-06,Starter,4731.37,17,0.034
2034-08-06,Growth,20991.7,124,0.075
2034-08-06,Scale,70382.08,451,0.048
2034-08-06,Enterprise,226065.5,986,0.026
2034-09-05,Starter,3214.69,8,0.02
2034-09-05,Growth,17974.44,169,0.072
2034-09-05,Scale,58746.91,808,0.021
2034-09-05,Enterprise,171320.98,447,0.052
2034-10-05,Starter,5500.78,111,0.016
2034-10-05,Growth,18637.45,49,0.022
2034-10-05,Scale,32851.36,114,0.051
2034-10-05,Enterprise,244560.36,1376,0.025
2034-11-04,Starter,5657.38,16,0.038
2034-11-04,Growth,28880.27,86,0.063
2034-11-04,Scale,78278.61,936,0.026
2034-11-04,Enterprise,115703.86,2056,0.047
2034-12-04,Starter,6025.16,35,0.023
2034-12-04,Growth,10667.42,143,0.051
2034-12-04,Scale,32482.45,257,0.027
2034-12-04,Enterprise,154638.81,1275,0.052
2035-01-03,Starter,2463.74,39,0.014
2035-01-03,Growth,10255.03,34,0.055
2035-01-03,Scale,50117.52,285,0.023
2035-01-03,Enterprise,149606.05,502,0.057
2035-02-02,Starter,5091.81,80,0.062
2035-02-02,Growth,16893.09,66,0.01
2035-02-02,Scale,51449.55,128,0.067
2035-02-02,Enterprise,114908.59,2860,0.066
2035-03-04,Starter,3598.25,10,0.025
2035-03-04,Growth,24764.05,354,0.037
2035-03-04,Scale,61490.7,296,0.065
2035-03-04,Enterprise,228664.49,1604,0.036
2035-04-03,Starter,4036.53,28,0.027
2035-04-03,Growth,10212.76,33,0.053
2035-04-03,Scale,79363.61,475,0.057
2035-04-03,Enterprise,217479.38,2803,0.016
2035-05-03,Starter,4104.06,18,0.078
2035-05-03,Growth,24429.46,150,0.034
2035-05-03,Scale,63964.9,234,0.063
2035-05-03,Enterprise,102718.18,2073,0.05
2035-06-02,Starter,4575.7,13,0.055
2035-06-02,Growth,19780.25,330,0.056
2035-06-02,Scale,72083.75,272,0.021
2035-06-02,Enterprise,136280.73,481,0.037
2035-07-02,Starter,4920.94,17,0.041
2035-07-02,Growth,18031.74,53,0.054
2035-07-02,Scale,39123.45,304,0.021
2035-07-02,Enterprise,218552.49,2592,0.035
2035-08-01,Starter,2858.82,8,0.036
2035-08-01,Growth,23299.37,77,0.055
2035-08-01,Scale,48579.16,406,0.045
2035-08-01,Enterprise,107168.7,311,0.052
2035-08-31,Starter,3039.34,55,0.076
2035-08-31,Growth,15274.82,45,0.064
2035-08-31,Scale,41870.59,134,0.05
2035-08-31,Enterprise,223574.74,630,0.059
2035-09-30,Starter,2516.5,27,0.041
2035-09-30,Growth,22806.79,85,0.07
2035-09-30,Scale,49816.24,432,0.078
2035-09-30,Enterprise,235926.93,1013,0.028
2035-10-30,Starter,4422.67,18,0.066
2035-10-30,Growth,20767.06,127,0.015
2035-10-30,Scale,85175.62,235,0.074
2035-10-30,Enterprise,119429.58,1615,0.065
2035-11-29,Starter,5252.89,103,0.037
2035-11-29,Growth,17816.31,60,0.038
2035-11-29,Scale,38913.06,194,0.066
2035-11-29,Enterprise,135590.44,377,0.014
2035-12-29,Starter,2878.56,27,0.03
2035-12-29,Growth,30572.11,256,0.067
2035-12-29,Scale,42917.03,112,0.036
2035-12-29,Enterprise,169647.47,452,0.037
2036-01-28,Starter,4395.92,23,0.047
2036-01-28,Growth,21422.88,85,0.021
2036-01-28,Scale,44893.92,136,0.03
2036-01-28,Enterprise,165731.07,1989,0.031
2036-02-27,Starter,5147.96,33,0.077
2036-02-27,Growth,23003.9,59,0.039
2036-02-27,Scale,51339.93,137,0.07
2036-02-27,Enterprise,122387.04,434,0.071
2036-03-28,Starter,5835.83,18,0.071
2036-03-28,Growth,26030.2,248,0.076
2036-03-28,Scale,72996.36,249,0.053
2036-03-28,Enterprise,210412.08,1789,0.058
2036-04-27,Starter,3522.4,39,0.019
2036-04-27,Growth,12930.95,65,0.065
2036-04-27,Scale,51164.1,1230,0.02
2036-04-27,Enterprise,134078.78,370,0.042
2036-05-27,Starter,6939.23,24,0.07
2036-05-27,Growth,25372.49,86,0.03
2036-05-27,Scale,49826.49,229,0.05
2036-05-27,Enterprise,267686.02,2997,0.018
2036-06-26,Starter,4756.57,16,0.014
2036-06-26,Growth,11125.34,90,0.053
2036-06-26,Scale,37175.33,255,0.049
2036-06-26,Enterprise,265751.48,699,0.076
2036-07-26,Starter,6008.12,54,0.055
2036-07-26,Growth,30436.77,105,0.075
2036-07-26,Scale,72123.73,526,0.014
2036-07-26,Enterprise,283865.41,1315,0.064
2036-08-25,Starter,4445.99,24,0.038
2036-08-25,Growth,15641.79,172,0.07
2036-08-25,Scale,89926.31,395,0.024
